Orthogroup,Mean_dN,Mean_dS,Mean_Omega,Ct_LMG19424.IS.tmp.45428,Pp_PsJN.IS.tmp.45708,Rs_068_2.IS.tmp.45974,Rs_071-2.IS.tmp.46234,Rs_077-080_1.IS.tmp.46490,Rs_095-3.IS.tmp.46746,Rs_102-3.IS.tmp.47027,Rs_115-4.IS.tmp.47283,Rs_144-1.IS.tmp.47548,Rs_AHR56.IS.tmp.47805,Rs_Bs715.IS.tmp.48082,Rs_CFBP2957.IS.tmp.48339,Rs_CIAT_078.IS.tmp.48596,Rs_FJAT1458F1.IS.tmp.48854,Rs_FJAT1458F50.IS.tmp.49132,Rs_FJAT1463F1.IS.tmp.49397,Rs_FJAT1463F50.IS.tmp.49711,Rs_FJAT15249F1.IS.tmp.49968,Rs_FJAT15249F50.IS.tmp.50225,Rs_FJAT15252F1.IS.tmp.50481,Rs_FJAT15252F50.IS.tmp.50741,Rs_FJAT448F1.IS.tmp.50998,Rs_FJAT448F50.IS.tmp.51254,Rs_FJAT454F1.IS.tmp.51509,Rs_IBSBF.IS.tmp.52041,Rs_IBSBF1503.IS.tmp.51785,Rs_KACC.IS.tmp.52297,Rs_MolK2.IS.tmp.52573,Rs_NCSU_Rs32.IS.tmp.52829,Rs_NCSU_Rs45488.IS.tmp.53085,Rs_NCSU_RsMR-FL01.IS.tmp.53341,Rs_P597.IS.tmp.53597,Rs_P673.IS.tmp.53853,Rs_Po82.IS.tmp.54132,Rs_RS_v1.IS.tmp.54648,Rs_RS_v2.IS.tmp.54904,Rs_Rs5.IS.tmp.54388,Rs_SL2064.IS.tmp.55181,Rs_SL2312.IS.tmp.55447,Rs_SL3175.IS.tmp.55703,Rs_T101.IS.tmp.55958,Rs_T11.IS.tmp.56236,Rs_T12.IS.tmp.56492,Rs_T51.IS.tmp.56748,Rs_T60.IS.tmp.57003,Rs_T78.IS.tmp.57259,Rs_T82.IS.tmp.57514,Rs_T95.IS.tmp.57770,Rs_T98.IS.tmp.58026,Rs_UW163.IS.tmp.58287,Rs_UY031.IS.tmp.58564,Rs_Wj644.IS.tmp.58819
OG0000000,0.0745257200084283,0.0363844563034118,2.431745402972033,"5480, 5492, 5505, 5622, 5623, 5624, 5652, 5659, 5664, 5693",4220,,,,,,,,"2407, 4624","1098, 1293, 1358, 1888, 1937, 2521, 263, 2653, 2764, 2986, 3627, 3695, 3701, 3856, 3936, 4034, 4256, 4468, 4506, 4509, 4589, 4874, 4958, 5092, 847","3757, 3758, 3759, 3760",,"1181, 1325, 1333, 1353, 1513, 1517, 1644, 1777, 1793, 1817, 1862, 1974, 217, 2527, 2532, 2553, 259, 2805, 289, 3404, 3442, 3444, 3749, 3783, 3786, 3823, 3862, 3872, 4056, 4118, 4120, 4163, 4243, 4252, 4258, 4259, 4337, 4467, 4556, 4718, 4722, 4748, 4989, 4993, 5009, 5103, 5174, 5175","1180, 1324, 1332, 1352, 1512, 1516, 1643, 1777, 1793, 1817, 1861, 1974, 217, 2530, 2535, 2556, 259, 2808, 289, 3407, 3445, 3447, 3752, 3786, 3789, 3826, 3865, 3875, 4058, 4120, 4122, 4165, 4244, 4253, 4259, 4260, 4338, 4468, 4557, 4719, 4723, 4749, 4990, 4994, 5010, 5104, 5175, 5176","1181, 1325, 1333, 1353, 1513, 1517, 1644, 1778, 1794, 1818, 1862, 1975, 217, 2531, 2536, 2557, 259, 2809, 289, 3408, 3446, 3448, 3753, 3787, 3790, 3827, 3866, 3876, 4060, 4122, 4124, 4167, 4247, 4256, 4262, 4263, 4341, 4471, 4560, 4722, 4726, 4752, 4993, 4997, 5013, 5107, 5178, 5179","1180, 1324, 1332, 1352, 1512, 1516, 1643, 1777, 1793, 1817, 1861, 1974, 216, 2530, 2535, 2556, 258, 2808, 288, 3407, 3445, 3447, 3752, 3786, 3789, 3826, 3865, 3875, 4059, 4121, 4123, 4166, 4246, 4255, 4261, 4262, 4340, 4470, 4559, 4721, 4725, 4751, 4992, 4996, 5012, 5106, 5177, 5178","1181, 1325, 1333, 1353, 1513, 1517, 1644, 1778, 1794, 1818, 1863, 1975, 217, 2530, 2535, 2556, 259, 2808, 289, 3406, 3444, 3446, 3751, 3785, 3788, 3825, 3864, 3874, 4058, 4120, 4122, 4165, 4245, 4254, 4260, 4261, 4339, 4469, 4558, 4719, 4723, 4749, 4990, 4994, 5010, 5104, 5175, 5176","1180, 1324, 1332, 1352, 1512, 1516, 1643, 1777, 1793, 1817, 1861, 1974, 217, 2530, 2535, 2556, 259, 2808, 289, 3408, 3446, 3448, 3753, 3787, 3790, 3827, 3866, 3876, 4060, 4122, 4124, 4167, 4247, 4256, 4262, 4263, 4341, 4471, 4560, 4722, 4726, 4752, 4993, 4997, 5013, 5107, 5178, 5179","1181, 1325, 1333, 1353, 1513, 1517, 1644, 1777, 1793, 1817, 1861, 1973, 217, 2528, 2533, 2554, 259, 2806, 289, 3405, 3443, 3445, 3750, 3784, 3787, 3824, 3863, 3873, 4057, 4120, 4122, 4165, 4245, 4254, 4260, 4261, 4339, 4469, 4558, 4720, 4724, 4750, 4991, 4995, 5011, 5105, 5176, 5177","1180, 1324, 1332, 1352, 1512, 1516, 1643, 1776, 1792, 1816, 1861, 1974, 216, 2528, 2533, 2554, 258, 2806, 288, 3405, 3443, 3445, 3750, 3784, 3787, 3824, 3863, 3873, 4057, 4119, 4121, 4164, 4244, 4253, 4259, 4260, 4338, 4468, 4557, 4719, 4723, 4749, 4990, 4994, 5010, 5104, 5175, 5176","1127, 1271, 1279, 1299, 1459, 1463, 1590, 1724, 1740, 1764, 1809, 1922, 217, 2478, 2483, 2504, 259, 2756, 289, 3354, 3392, 3394, 3699, 3733, 3736, 3773, 3812, 3822, 4006, 4068, 4070, 4113, 4193, 4202, 4208, 4209, 4287, 4417, 4503, 4508, 4670, 4674, 4700, 4941, 4945, 4961, 5055, 5126, 5127","1132, 1277, 1285, 1305, 1465, 1469, 1596, 1730, 1746, 1770, 1815, 1929, 218, 2487, 2492, 2513, 260, 2765, 290, 3362, 3400, 3402, 3707, 3741, 3744, 3781, 3820, 3830, 4014, 4077, 4079, 4122, 4202, 4211, 4217, 4218, 4296, 4427, 4513, 4518, 4681, 4685, 4711, 4952, 4956, 4972, 5066, 5138, 5139","1126, 1270, 1278, 1298, 1458, 1462, 1589, 1723, 1739, 1763, 1807, 1920, 217, 2475, 2480, 2501, 259, 2753, 289, 3351, 3389, 3391, 3696, 3730, 3733, 3770, 3809, 3819, 4003, 4065, 4067, 4110, 4189, 4198, 4204, 4205, 4283, 4414, 4500, 4505, 4667, 4671, 4697, 4938, 4942, 4958, 5052, 5123, 5124",,,"247, 3285",,"1696, 3851","1390, 1391, 1454, 3795","2833, 3699","1355, 1443, 2158, 2208, 2209, 2210, 2211, 2597, 2737, 3279, 3357, 3888, 3931, 3948, 4644, 4647, 4655, 4658, 4751","1140, 1158, 1211, 195, 2041, 2046, 2303, 2341, 2436, 2693, 3296, 3364, 343, 3539, 354, 3578, 365, 366, 3755, 3772, 3826, 3966, 3968, 3995, 4082, 410, 4110, 4266, 4291, 4396, 4417, 4596, 4605, 4613, 4631, 4714, 4715, 4716, 4718, 4830, 511",,"1054, 1090, 1124, 1138, 1143, 1305, 1885, 1887, 1941, 1943, 2072, 2112, 2152, 2157, 2186, 2271, 2331, 2337, 2458, 246, 2480, 2543, 2553, 2556, 270, 272, 274, 285, 2924, 2984, 3122, 3220, 3229, 3250, 3261, 3278, 3292, 3328, 3410, 3414, 3429, 3430, 3466, 3531, 3532, 3533, 3539, 360, 3632, 3633, 3638, 3680, 3704, 3715, 3728, 3841, 3844, 3862, 3978, 4023, 4129, 4166, 4183, 4216, 4305, 4346, 4373, 4375, 4381, 4392, 4429, 4463, 4507, 4544, 4556, 4557, 4558, 4559, 4579, 4598, 4599, 4618, 4627, 50, 56, 63, 70, 836, 936","1055, 1089, 1122, 1136, 1141, 1301, 1881, 1883, 1936, 1939, 2067, 2107, 2147, 2152, 2181, 2268, 2328, 2334, 2454, 2476, 250, 2541, 2551, 2554, 273, 275, 277, 288, 2926, 2982, 3122, 3219, 3227, 3248, 3257, 3274, 3288, 3324, 3405, 3409, 3424, 3425, 3461, 3528, 3529, 3530, 3537, 3625, 3626, 3632, 366, 3673, 3698, 3710, 3723, 3836, 3838, 3856, 3973, 4019, 4126, 4162, 4179, 4212, 4305, 4346, 4373, 4375, 4381, 4392, 4429, 4463, 4506, 4542, 4554, 4555, 4556, 4557, 4578, 4597, 4598, 4619, 4629, 50, 56, 63, 71, 839, 937","2295, 4361","247, 3295","3203, 4575",3253,"3200, 4581",3266,"3264, 4698",3221,"1410, 2046, 2245, 2266, 2442, 249, 2682, 304, 328, 3296, 3345, 3388, 345, 3639, 3640, 3679, 4013, 4046, 410, 4131, 4139, 4265, 4402, 4469, 4475, 4633, 4713, 4714, 4810, 5, 5035, 609, 867","1358, 2277, 235, 2455, 253, 2644, 2645, 2696, 275, 3207, 3353, 340, 3403, 366, 3697, 3736, 3817, 4104, 4119, 4190, 4297, 4324, 4460, 4527, 4533, 4690, 4692, 4771, 4869, 5091, 5112","3192, 4562","247, 3284",3255,,"1054, 1090, 1123, 1137, 1142, 1304, 1883, 1885, 1939, 1942, 2071, 2111, 2151, 2156, 2185, 2270, 2330, 2335, 245, 2455, 2477, 2542, 2552, 2555, 269, 271, 273, 286, 2923, 2982, 3120, 3217, 3226, 3247, 3260, 3277, 3291, 3327, 3409, 3413, 3428, 3429, 3465, 3530, 3531, 3532, 3538, 361, 3630, 3631, 3636, 3678, 3702, 3714, 3727, 3840, 3843, 3861, 3977, 4022, 4129, 4166, 4183, 4215, 4304, 4345, 4372, 4374, 4380, 4391, 4428, 4462, 4506, 4543, 4555, 4556, 4557, 4558, 4578, 4597, 4598, 4617, 4626, 50, 56, 63, 70, 837, 936","109, 110, 1267, 1287, 1900, 1936, 2057, 2139, 2305, 260, 262, 2624, 264, 265, 2856, 2861, 301, 3400, 3402, 3404, 3713, 3754, 3776, 3813, 3824, 3842, 3843, 3898, 3974, 4066, 4067, 4083, 4085, 4150, 4178, 4250, 4648, 4650, 4671, 4700, 4835, 4850, 4854, 4961, 5041, 5046, 5067, 5097, 5111, 5113, 5127, 5158, 5208, 5231, 5276, 5280, 5310, 591, 899, 901, 952, 953, 969, 973, 977"
OG0000001,0.0782030881711893,0.0329121046765359,3.0835917092167096,,,,,,,,,,,"1294, 1357, 1936, 2520, 264, 2765, 3626, 3694, 3702, 3857, 3937, 4035, 4255, 4469, 4507, 4508, 4875, 4957, 5093, 848",,,"1326, 1352, 216, 2526, 2804, 290, 3443, 3873, 4164, 4244, 4253, 4260, 4336, 4468, 4717, 4723, 4749, 4992, 5173","1325, 1351, 216, 2529, 2807, 290, 3446, 3876, 4166, 4245, 4254, 4261, 4337, 4469, 4718, 4724, 4750, 4993, 5174","1326, 1352, 216, 2530, 2808, 290, 3447, 3877, 4168, 4248, 4257, 4264, 4340, 4472, 4721, 4727, 4753, 4996, 5177","1325, 1351, 215, 2529, 2807, 289, 3446, 3876, 4167, 4247, 4256, 4263, 4339, 4471, 4720, 4726, 4752, 4995, 5176","1326, 1352, 216, 2529, 2807, 290, 3445, 3875, 4166, 4246, 4255, 4262, 4338, 4470, 4724, 4750, 4993, 5174","1325, 1351, 216, 2529, 2807, 290, 3447, 3877, 4168, 4248, 4257, 4264, 4340, 4472, 4721, 4727, 4753, 4996, 5177","1326, 1352, 216, 2527, 2805, 290, 3444, 3874, 4166, 4246, 4255, 4262, 4338, 4470, 4719, 4725, 4751, 4994, 5175","1325, 1351, 215, 2527, 2805, 289, 3444, 3874, 4165, 4245, 4254, 4261, 4337, 4469, 4718, 4724, 4750, 4993, 5174","1272, 1298, 216, 2477, 2755, 290, 3393, 3823, 4114, 4194, 4203, 4210, 4286, 4418, 4502, 4669, 4675, 4701, 4944, 5125","1278, 1304, 217, 2486, 2764, 291, 3401, 3831, 4123, 4203, 4212, 4219, 4295, 4428, 4512, 4680, 4686, 4712, 4955, 5137","1271, 1297, 216, 2474, 2752, 290, 3390, 3820, 4111, 4190, 4199, 4206, 4282, 4415, 4499, 4666, 4672, 4698, 4941, 5122",,,,,,,,,,,,,,,,,,,,,"1409, 2441, 2683, 303, 3297, 3389, 346, 3641, 3678, 4, 4014, 4047, 409, 4130, 4138, 4266, 4401, 4468, 4476, 4634, 4715, 4811, 5034, 866","1357, 2276, 2454, 2646, 2697, 276, 3206, 3354, 339, 3698, 3735, 4105, 4118, 4189, 4325, 4459, 4526, 4534, 4691, 4772, 4870, 5090, 5111",,,,,,"108, 111, 1286, 1937, 2306, 261, 263, 302, 3403, 3714, 3814, 3825, 3841, 3899, 3973, 4068, 4082, 4149, 4177, 4249, 4672, 4699, 4836, 4853, 5042, 5112, 5114, 5207, 5279, 592, 900, 951, 954, 978"
OG0000002,0.0827089185834762,0.0305137788733408,3.331259753117217,"5483, 5488, 5541, 5599, 5606, 5690",,"1221, 1466, 1472, 1546, 1549, 2626, 4870, 4897","1220, 1465, 1468, 1542, 1545, 2624, 4863, 4873, 4889","1221, 1466, 1472, 1546, 1549, 2627, 4867, 4894","1218, 1463, 1469, 1543, 1546, 2621, 4854, 4880","1219, 1464, 1470, 1544, 1547, 2622, 4859, 4885","1220, 1465, 1468, 1542, 1545, 2625, 4865, 4875, 4891","1219, 1464, 1470, 1544, 1547, 2622, 4856, 4880","3785, 3885","2369, 2631, 3280, 3925, 4096, 480, 564, 671, 672, 739",,"2088, 2347, 250, 3081, 3084","1106, 1139, 197, 2077, 2833, 3495, 4274, 4342, 4881, 87","1105, 1138, 197, 2078, 2836, 3498, 4275, 4343, 4882, 87","1106, 1139, 197, 2079, 2837, 3499, 4278, 4346, 4885, 87","1105, 1138, 196, 2078, 2836, 3498, 4277, 4345, 4884, 87","1106, 1139, 197, 2078, 2836, 3497, 4276, 4344, 4882, 87","1105, 1138, 197, 2078, 2836, 3499, 4278, 4346, 4885, 87","1105, 1139, 197, 2076, 2834, 3496, 4276, 4344, 4883, 87","1105, 1138, 196, 2077, 2834, 3496, 4275, 4343, 4882, 87","1052, 1085, 197, 2025, 2784, 3445, 4224, 4292, 4833, 87","1057, 1090, 198, 2033, 2793, 3453, 4233, 4301, 4844, 88","1051, 1084, 197, 2023, 2781, 3442, 4220, 4288, 4830, 87","1225, 1479, 1555, 1558, 2643","383, 386, 4174, 672",,,"1783, 180, 2012, 928","1093, 1521, 4399, 845","4310, 4414",3861,,"1223, 1474, 1549, 1552, 2629",,,"2397, 2846, 3722, 986",,,,,,,,"1038, 1040, 1143, 1191, 1950, 2652, 4700, 4872, 971","1010, 1116, 1149, 1962, 2666, 2947, 4760, 4931, 943",,,,"2070, 2313, 2323, 244, 3036, 3039",,"1004, 1685, 221, 2542, 2575, 2623, 3591, 4087, 4261, 5134, 698, 929"
OG0000003,0.0713231904172956,0.040459989641482,2.0329190161378765,3844,,"2361, 264, 380","2358, 265, 380","2361, 265, 381","2356, 264, 378","2357, 264, 379","2359, 265, 380","2357, 265, 380","201, 338","1289, 1385, 2519, 2590, 2633, 2659, 2979, 4929","2832, 2930, 3779","1122, 1235, 3275","2377, 256, 2732, 2807, 2831, 357, 3730, 4196, 4218","2379, 256, 2735, 2810, 2834, 357, 3733, 4197, 4219","2380, 256, 2736, 2811, 2835, 357, 3734, 4200, 4222","2379, 255, 2735, 2810, 2834, 356, 3733, 4199, 4221","2379, 256, 2735, 2810, 2834, 357, 3732, 4198, 4220","2379, 256, 2735, 2810, 2834, 357, 3734, 4200, 4222","2377, 256, 2733, 2808, 2832, 357, 3731, 4198, 4220","2377, 255, 2733, 2808, 2832, 356, 3731, 4197, 4219","2326, 256, 2683, 2758, 2782, 357, 3680, 4146, 4168","2335, 257, 2692, 2767, 2791, 358, 3688, 4155, 4177","2324, 256, 2680, 2755, 2779, 357, 3677, 4142, 4164","2373, 269, 382","1503, 1608, 2739","244, 356, 885","2650, 4260, 4740","1083, 1793, 2915, 3019, 3451","1314, 139, 36, 3912","1526, 1628","1115, 2227, 2265, 2368, 3899, 4814, 993","1198, 1285, 3812, 49","2362, 268, 381","1349, 267, 362","1345, 270, 368","2393, 285, 3943, 395, 4149, 4245","244, 357, 888",285,"2257, 2338, 293",284,"288, 846",290,"287, 842","2252, 246, 2554, 2626, 2650, 2684, 319, 4102, 414","2262, 249, 2566, 2638, 2664, 2698, 344, 4161",285,"244, 356, 886","2261, 2342, 294","1113, 1226, 3227","1348, 266, 363","1042, 1385, 3333, 3429, 931, 960"
OG0000004,0.0817915467137921,0.0320862476742816,3.1310125617185336,4803,,"1454, 2610, 2692, 4858","1453, 2608, 2690, 4851","1454, 2611, 2693, 4855","1451, 2605, 2687, 3765, 4842","1452, 2606, 2688, 3769, 4847","1453, 2609, 2691, 4853","1452, 2606, 2688, 3776, 4844",3789,"2091, 4372, 4379","1373, 201, 2128, 2826, 3143, 3151, 3684, 857","232, 310","3050, 3261, 4561, 5252, 5259","3053, 3264, 4562, 5253, 5260","3054, 3265, 4565, 5256, 5263","3053, 3264, 4564, 5255, 5262","3053, 3263, 4563, 5253, 5260","3053, 3265, 4565, 5256, 5263","3051, 3262, 4563, 5254, 5261","3051, 3262, 4562, 5253, 5260","3000, 3211, 4513, 5204, 5211","3009, 3219, 4523, 5216, 5223","2997, 3208, 4510, 5201, 5208","1463, 2627, 2702","2388, 2491, 2682, 4172","2428, 2429, 2622, 4141, 4560","1050, 1078, 1239, 1360, 1505, 1841, 2388, 2425, 2662, 2973, 3608, 3654, 4162, 4321, 4722, 537, 804, 970",4675,4432,4314,"1045, 1788, 265, 3906, 3952, 3967, 4075, 4559, 4624, 4652, 4869","2150, 2584, 3629, 4264, 4393, 4601, 952","1458, 2613, 2688",,,3718,"2439, 2440, 2632, 4153, 4570","1433, 2350, 2539, 4503, 4547","1345, 200, 2266, 2399, 2408, 2611, 3217, 339, 3708, 4636, 510","1438, 2347, 2534, 4510, 4553","2386, 2387, 2579, 4126, 4547","1460, 2386, 2580, 4624, 4668","2387, 2388, 2580, 4083, 4502","3139, 5151, 5158","3157, 5210, 5217","1436, 2341, 2529, 4490, 4534","2428, 2429, 2621, 4141, 4561","1344, 201, 2270, 2403, 2412, 2613, 3219, 340, 3708, 4636, 510",228,,"2373, 4477, 473, 5314, 5321"
OG0000005,0.0638884922469616,0.039437796546482,2.2737879145057365,5669,,"1453, 2611, 2691, 3599, 4857","1452, 2609, 2689, 3596, 4850","1453, 2612, 2692, 3600, 4854","1450, 2606, 2686, 3584, 3766, 4841","1451, 2607, 2687, 3588, 3770, 4846","1452, 2610, 2690, 3598, 4852","1451, 2607, 2687, 3595, 3777, 4843","1464, 1467, 3166",4374,"1374, 202, 2127, 2827, 3142, 3149, 3150, 4812, 858","1934, 230, 233, 311, 4522","4558, 4560, 5257","4559, 4561, 5258","4562, 4564, 5261","4561, 4563, 5260","4560, 4562, 5258","4562, 4564, 5261","4560, 4562, 5259","4559, 4561, 5258","4510, 4512, 5206","4520, 4522, 5218","4507, 4509, 5203","1462, 2628, 2703, 3607","2389, 2490, 2683, 4173, 4209","1073, 2427, 4142","1051, 1079, 1240, 1359, 1504, 1842, 2389, 2424, 2661, 2972, 3609, 3653, 4163, 4320, 4723, 538, 805, 969","850, 853","2268, 2275","2055, 413, 416","1050, 1789, 3905, 3968, 4076, 4560, 4623, 4651, 4870","2151, 2583, 3630, 3729, 4265, 4392, 4602, 951","1457, 2614, 2689, 3586",,,"1491, 1494","1076, 2438, 4154","1434, 2349, 4548, 4549, 671, 682","1344, 1639, 2264, 2265, 2400, 2409, 2410, 2612, 3218, 338, 3709, 4635, 511","1439, 2346, 4554, 4555, 673, 685","1031, 2385, 2580, 4127","1461, 2385, 4669, 4670, 682, 693","1030, 2386, 2581, 4084",5153,5215,"1437, 2340, 4535, 4536, 672, 682","1074, 2427, 4142","1343, 1641, 2268, 2269, 2404, 2413, 2414, 2614, 3220, 339, 3709, 4635, 511","229, 4435",,"2363, 2365, 4473, 4476, 5068, 5101, 5319"
OG0000006,0.0814530187074829,0.0436426445578231,2.4310732886904765,"5032, 5748","251, 3785, 384, 6599, 6868, 7310, 7330","2378, 243, 3263, 4579, 4864, 4917","2375, 243, 3262, 4574, 4857, 4909","2379, 243, 3265, 4578, 4861, 4914","2373, 243, 3260, 4564, 4848, 4900","2374, 243, 3262, 4569, 4853, 4905","2376, 243, 3264, 4576, 4859, 4911","2374, 243, 3260, 3881, 4850, 4900","220, 3182, 3397, 3612","1404, 2574, 4454, 4703","2274, 3187, 3471, 3756, 4921","1, 1103, 3315, 3541","239, 2748, 3735, 378, 3985","239, 2751, 3738, 378, 3988","239, 2752, 3739, 378, 3989","238, 2751, 3738, 377, 3988","239, 2751, 3737, 378, 3987","239, 2751, 3739, 378, 3989","239, 2749, 3736, 378, 3987","238, 2749, 3736, 377, 3986","239, 2699, 3685, 378, 3935","240, 2708, 3693, 379, 3943","239, 2696, 3682, 378, 3932","2391, 252, 3272, 4587","1625, 2721, 4383, 4656","228, 3286, 3514","2700, 4277, 860","2898, 3407, 3657","159, 4004, 4239","1645, 3898, 4138","1130, 2207, 4257, 4659","1177, 3269, 3547, 3794","2379, 250, 3253, 4559","3161, 3329, 4560","3160, 3325, 4558","264, 3900, 4141","228, 3296, 3526","2976, 3204, 3423, 685","2353, 3254, 3483","2972, 3201, 3422, 688","2676, 3267, 3497","3027, 3265, 3494, 696","3222, 3455","231, 2570, 301, 3625, 3873","230, 2582, 3257, 3683, 3932, 5337","2965, 3193, 3413, 685","228, 3285, 3514","2357, 3256, 3482","1096, 3263, 3481, 4875","3158, 3328, 4559","3445, 3702, 5030"
OG0000007,0.0737912797706893,0.0334458296051123,2.617962403337404,"5619, 5705",,,,,,,,,"1196, 1619, 4558, 4710","1020, 1183, 1295, 1363, 1669, 2400, 2693, 2787, 2839, 3467, 384, 4772, 611",,,"1057, 1236, 1873, 1874, 2492, 2601, 284, 2936, 353, 3668, 4059, 549, 587, 832","1056, 1235, 1872, 1873, 2494, 2604, 284, 2939, 353, 3671, 4061, 549, 587, 831","1057, 1236, 1873, 1874, 2495, 2605, 284, 2940, 353, 3672, 4063, 549, 587, 832","1056, 1235, 1872, 1873, 2494, 2604, 283, 2939, 352, 3671, 4062, 548, 586, 831","1057, 1236, 1874, 1875, 2494, 2604, 284, 2939, 353, 3670, 4061, 550, 588, 832","1056, 1235, 1872, 1873, 2494, 2604, 284, 2939, 353, 3672, 4063, 549, 587, 831","1056, 1236, 1872, 1873, 2492, 2602, 284, 2937, 353, 3669, 4060, 549, 587, 831","1056, 1235, 1872, 1873, 2492, 2602, 283, 2937, 352, 3669, 4060, 548, 586, 831","1003, 1182, 1820, 1821, 2441, 2552, 284, 2886, 353, 3618, 4009, 497, 535, 778","1006, 1188, 1826, 1827, 2450, 2561, 285, 2895, 354, 3626, 4017, 499, 537, 781","1002, 1181, 1818, 1819, 2439, 2549, 284, 2883, 353, 3615, 4006, 497, 535, 777",,,,,,,"217, 3635",,,,,,"2936, 390, 4274, 506, 682",,,,,,,,"1096, 1289, 1762, 2367, 2419, 2513, 2802, 340, 3566, 3942, 408, 520, 693","1069, 1245, 1765, 2381, 2432, 2526, 270, 2816, 338, 3624, 4002, 503, 665",,,,,,"1165, 1217, 1889, 2446, 2628, 31, 3173, 3337, 3409, 4336, 4957, 817"
OG0000008,0.0816844698933766,0.0347281866234682,2.7957782482647824,5500,183,"1071, 1475, 1548, 2348, 2616, 2698, 280, 3286, 343, 3591, 3720, 4072, 4492, 4842","1070, 1471, 1544, 2614, 2696, 281, 3285, 343, 3588, 3717, 4068, 4488, 4835","1071, 1475, 1548, 2348, 2617, 2699, 281, 3288, 344, 3592, 3721, 4072, 4491, 4839","1068, 1472, 1545, 2611, 2693, 280, 3283, 342, 3576, 3705, 4058, 4478, 4826, 4863","1069, 1473, 1546, 2612, 2694, 280, 3285, 342, 3580, 3709, 4062, 4482, 4831, 4868","1070, 1471, 1544, 2615, 2697, 281, 3287, 343, 3590, 3719, 4070, 4490, 4837","1069, 1473, 1546, 2612, 2694, 281, 3283, 343, 3587, 3716, 3967, 4386, 4828","3776, 3777",,,"1198, 1937, 238, 3082, 313, 3163, 323, 3293, 3627, 3731, 4208, 4529",,,,,,,,,,,,"1074, 1482, 1557, 2430, 2633, 3294, 345, 3599, 3726, 4082, 4501","1539, 2485, 3733, 384, 4181, 4184, 4217, 4299, 4636, 823",,"1063, 1196, 1242, 1507, 181, 1816, 1846, 2004, 2227, 2454, 2659, 2766, 2928, 3253, 3355, 3676, 3847, 4038, 4160, 4318, 4423, 4454, 4625, 4778, 4844, 547, 603, 857, 88, 967","3229, 4687, 4688","3182, 4416, 4417, 4582, 837","1335, 1873, 4301, 4302",,"142, 1631, 2043, 2144, 2420, 2586, 3111, 352, 3635, 3810, 4262, 4615, 4801","1072, 1477, 1551, 2418, 2619, 3275, 344, 3578, 3705, 4057, 4473",,,585,,,,,,,,,,,,,"1189, 1396, 1919, 234, 3037, 3050, 306, 3115, 319, 3240, 3567, 3670, 4124, 4443, 4756, 4843, 4877, 870",,
OG0000009,0.0616178913871137,0.0482449406172473,1.670921417894512,"3856, 585",,"203, 2344, 2687, 4814, 4909","203, 2343, 2685, 4808, 4901","203, 2344, 2688, 4812, 4906","203, 2341, 2682, 4799, 4892","203, 2342, 2683, 4804, 4897","203, 2344, 2686, 4810, 4903","203, 2342, 2683, 4801, 4892","1583, 2468, 3781","1445, 2528, 2606, 2667, 4886","1680, 2922, 2940, 3711, 3795, 4881","1065, 316, 3260","1647, 194, 2716, 2796, 4175","1646, 194, 2719, 2799, 4177","1647, 194, 2720, 2800, 4179","1646, 193, 2719, 2799, 4178","1647, 194, 2719, 2799, 4177","1646, 194, 2719, 2799, 4179","1647, 194, 2717, 2797, 4177","1646, 193, 2717, 2797, 4176","1593, 194, 2667, 2747, 4125","1599, 195, 2676, 2756, 4134","1592, 194, 2664, 2744, 4122","210, 2359, 2707","1667, 2416, 2420, 2749","188, 259","1059, 1060, 2637, 4250","1755, 2853, 4683, 972","1354, 200, 2156, 4421","1685, 2771, 2772, 301, 4306","1092, 2164, 2246, 2250, 3858, 3929","1214, 2032, 2601, 3823","208, 2347, 2693","1110, 2074, 4606","1108, 2069, 4605, 4606","1126, 221, 2355, 2356","188, 260","188, 4542","2328, 970","187, 4548",191,"192, 4663",190,"1175, 191, 2538, 258, 2618, 2676, 4052","188, 2550, 2630, 2690, 4116","188, 4529","188, 259","2332, 968","1055, 310, 3212","1109, 2073, 4605","1050, 3487, 967"
