genome1	BHKY.fna	BuffGH_2022.fna	EaSmR.fna	ICMP5845.fna	MDCuke_2022.fna	PSU-1.fna	SCR3.fna
BHKY.fna	100.0	99.9852	79.1657	98.8757	99.0326	99.5767	98.9282
BuffGH_2022.fna	99.9848	100.0	79.1439	98.9361	99.0778	99.5716	98.9904
EaSmR.fna	79.2435	79.2335	100.0	79.106	79.1411	78.9127	79.2082
ICMP5845.fna	98.911	98.9179	79.1373	100.0	99.862	98.8031	99.9221
MDCuke_2022.fna	99.0226	98.9816	79.2578	99.8435	100.0	98.8891	99.8989
PSU-1.fna	99.5256	99.5628	78.6758	98.7234	98.747	99.9497	98.7424
SCR3.fna	99.0022	98.9418	79.2229	99.924	99.9066	98.8251	100.0
