Genome,Group,IS_Count,TFI
BHKY,Wild,617,123.4
ICMP5845,Wild,537,107.4
MDCuke_2022,Wild,553,110.6
SCR3,Wild,542,108.4
BuffGH_2022,Lab,603,120.6
PSU-1,Lab,176,35.2
