"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","BHKY","BuffGH_2022","EaSmR","ICMP5845","MDCuke_2022","PSU-1","SCR3"
"hupA","","DNA-binding protein HU-alpha","7","7","1","4","2327","","","","272","272","272","POCPNIHP_00312","JKPFCNPL_00317","FENHPGCI_03212","PNIFCKEH_01692","JIDLLDEG_00216","EJNDHMEK_02830","MAOBNCNO_00218"
"rpsJ","","Small ribosomal subunit protein uS10","7","7","1","4","8882","","","","311","311","311","POCPNIHP_00603","JKPFCNPL_00902","FENHPGCI_00299","PNIFCKEH_00726","JIDLLDEG_04906","EJNDHMEK_01728","MAOBNCNO_04794"
"rpsU","","Small ribosomal subunit protein bS21","7","7","1","4","4049","","","","215","215","215","POCPNIHP_00901","JKPFCNPL_01202","FENHPGCI_00501","PNIFCKEH_00242","JIDLLDEG_04494","EJNDHMEK_01443","MAOBNCNO_04393"
"cspC","","Cold shock-like protein CspC","7","7","1","4","12030","","","","209","209","209","POCPNIHP_02465","JKPFCNPL_02869","FENHPGCI_01989","PNIFCKEH_04906","JIDLLDEG_02897","EJNDHMEK_04238","MAOBNCNO_02811"
"infA","","Translation initiation factor IF-1","7","7","1","4","10388","","","","218","218","218","POCPNIHP_03357","JKPFCNPL_03717","FENHPGCI_01358","PNIFCKEH_03982","JIDLLDEG_02063","EJNDHMEK_00502","MAOBNCNO_02059"
"rpmD","","Large ribosomal subunit protein uL30","7","7","1","4","8903","","","","185","185","185","POCPNIHP_00622","JKPFCNPL_00921","FENHPGCI_00318","PNIFCKEH_00706","JIDLLDEG_04887","EJNDHMEK_01709","MAOBNCNO_04775"
"rho","","Transcription termination factor Rho","7","7","1","4","5298","","","","1259","1259","1259","POCPNIHP_05327","JKPFCNPL_05411","FENHPGCI_03308","PNIFCKEH_01153","JIDLLDEG_05251","EJNDHMEK_03903","MAOBNCNO_05136"
"rpsC","","Small ribosomal subunit protein uS3","7","7","1","4","8889","","","","698","698","698","POCPNIHP_00610","JKPFCNPL_00909","FENHPGCI_00306","PNIFCKEH_00719","JIDLLDEG_04899","EJNDHMEK_01721","MAOBNCNO_04787"
"aroK","","Shikimate kinase 1","7","7","1","4","8789","","","","521","521","521","POCPNIHP_00558","JKPFCNPL_00856","FENHPGCI_00258","PNIFCKEH_00784","JIDLLDEG_04952","EJNDHMEK_01778","MAOBNCNO_04840"
"mreB","","Cell shape-determining protein MreB","7","7","1","4","11200","","","","1043","1043","1043","POCPNIHP_00754","JKPFCNPL_01054","FENHPGCI_00367","PNIFCKEH_00434","JIDLLDEG_04659","EJNDHMEK_01587","MAOBNCNO_04549"
"crp","","cAMP-activated global transcriptional regulator CRP","7","7","1","4","8829","","","","632","632","632","POCPNIHP_00574","JKPFCNPL_00873","FENHPGCI_00273","PNIFCKEH_00764","JIDLLDEG_04936","EJNDHMEK_01760","MAOBNCNO_04824"
"rplV","","Large ribosomal subunit protein uL22","7","7","1","4","8888","","","","332","332","332","POCPNIHP_00609","JKPFCNPL_00908","FENHPGCI_00305","PNIFCKEH_00720","JIDLLDEG_04900","EJNDHMEK_01722","MAOBNCNO_04788"
"rplK","","Large ribosomal subunit protein uL11","7","7","1","4","2302","","","","428","428","428","POCPNIHP_00293","JKPFCNPL_00298","FENHPGCI_03234","PNIFCKEH_01669","JIDLLDEG_00198","EJNDHMEK_02848","MAOBNCNO_00199"
