Assembly,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,GC (%),N50,N90,auN,L50,L90,# N's per 100 kbp,C(%),S(%),D(%),F(%),M(%)
BHKY,2,2,2,2,2,1,4958521,4958521,4958521,4958521,4958521,4920713,2,4920713,4958521,50.51,4920713,4920713,4883481.6,1,1,0.0,99.7,99.5,0.2,0.2,0.1
BuffGH_2022,2,2,2,2,2,1,4978853,4978853,4978853,4978853,4978853,4938018,2,4938018,4978853,50.57,4938018,4938018,4897852.8,1,1,0.0,99.5,99.3,0.2,0.2,0.3
ICMP5845,6,6,5,3,3,2,4935147,4935147,4934090,4920037,4920037,4880440,6,4812110,4935147,50.48,4812110,4812110,4693424.9,1,1,0.0,69.3,69.1,0.2,20.7,10.0
MDCuke_2022,6,6,6,5,5,2,5054064,5054064,5054064,5047126,5047126,4945344,6,4874086,5054064,50.49,4874086,4874086,4702224.4,1,1,0.0,99.7,99.5,0.2,0.2,0.1
PSU-1,27,27,22,19,18,16,4717274,4717274,4702003,4677852,4654894,4570835,27,1160218,4717274,50.13,462843,84879,553367.2,4,12,10257.43,99.5,99.3,0.2,0.2,0.3
SCR3,6,6,6,4,4,2,4974774,4974774,4974774,4959514,4959514,4883905,6,4815509,4974774,50.49,4815509,4815509,4662882.6,1,1,0.0,99.7,99.5,0.2,0.2,0.1
