Orthogroup	Ct_LMG19424.IS.tmp.45428	Pp_PsJN.IS.tmp.45708	Rs_068_2.IS.tmp.45974	Rs_071-2.IS.tmp.46234	Rs_077-080_1.IS.tmp.46490	Rs_095-3.IS.tmp.46746	Rs_102-3.IS.tmp.47027	Rs_115-4.IS.tmp.47283	Rs_144-1.IS.tmp.47548	Rs_AHR56.IS.tmp.47805	Rs_Bs715.IS.tmp.48082	Rs_CFBP2957.IS.tmp.48339	Rs_CIAT_078.IS.tmp.48596	Rs_FJAT1458F1.IS.tmp.48854	Rs_FJAT1458F50.IS.tmp.49132	Rs_FJAT1463F1.IS.tmp.49397	Rs_FJAT1463F50.IS.tmp.49711	Rs_FJAT15249F1.IS.tmp.49968	Rs_FJAT15249F50.IS.tmp.50225	Rs_FJAT15252F1.IS.tmp.50481	Rs_FJAT15252F50.IS.tmp.50741	Rs_FJAT448F1.IS.tmp.50998	Rs_FJAT448F50.IS.tmp.51254	Rs_FJAT454F1.IS.tmp.51509	Rs_IBSBF.IS.tmp.52041	Rs_IBSBF1503.IS.tmp.51785	Rs_KACC.IS.tmp.52297	Rs_MolK2.IS.tmp.52573	Rs_NCSU_Rs32.IS.tmp.52829	Rs_NCSU_Rs45488.IS.tmp.53085	Rs_NCSU_RsMR-FL01.IS.tmp.53341	Rs_P597.IS.tmp.53597	Rs_P673.IS.tmp.53853	Rs_Po82.IS.tmp.54132	Rs_RS_v1.IS.tmp.54648	Rs_RS_v2.IS.tmp.54904	Rs_Rs5.IS.tmp.54388	Rs_SL2064.IS.tmp.55181	Rs_SL2312.IS.tmp.55447	Rs_SL3175.IS.tmp.55703	Rs_T101.IS.tmp.55958	Rs_T11.IS.tmp.56236	Rs_T12.IS.tmp.56492	Rs_T51.IS.tmp.56748	Rs_T60.IS.tmp.57003	Rs_T78.IS.tmp.57259	Rs_T82.IS.tmp.57514	Rs_T95.IS.tmp.57770	Rs_T98.IS.tmp.58026	Rs_UW163.IS.tmp.58287	Rs_UY031.IS.tmp.58564	Rs_Wj644.IS.tmp.58819	Total
OG0000000	10	1	0	0	0	0	0	0	0	2	25	4	0	48	48	48	48	48	48	48	48	49	49	49	0	0	2	0	2	4	2	19	41	0	89	89	2	2	2	1	2	1	2	1	33	31	2	2	1	0	89	65	1057
OG0000001	0	0	0	0	0	0	0	0	0	0	20	0	0	19	19	19	19	18	19	19	19	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	23	0	0	0	0	0	34	312
OG0000002	6	0	8	9	8	8	8	9	8	2	10	0	5	10	10	10	10	10	10	10	10	10	10	10	5	4	0	0	4	4	2	1	0	5	0	0	4	0	0	0	0	0	0	0	9	9	0	0	0	6	0	12	256
OG0000003	1	0	3	3	3	3	3	3	3	2	8	3	3	9	9	9	9	9	9	9	9	9	9	9	3	3	3	3	5	4	2	7	4	3	3	3	6	3	1	3	1	2	1	2	9	8	1	3	3	3	3	6	235
OG0000004	1	0	4	4	4	5	5	4	5	1	3	8	2	5	5	5	5	5	5	5	5	5	5	5	3	4	5	18	1	1	1	11	7	3	0	0	1	5	5	11	5	5	5	5	3	3	5	5	11	1	0	5	230
OG0000005	1	0	5	5	5	6	6	5	6	3	1	9	5	3	3	3	3	3	3	3	3	3	3	3	4	5	3	18	2	2	3	9	8	4	0	0	2	3	6	13	6	4	6	4	1	1	6	3	13	2	0	7	225
OG0000006	2	7	6	6	6	6	6	6	6	4	4	5	4	5	5	5	5	5	5	5	5	5	5	5	4	4	3	3	3	3	3	4	4	4	3	3	3	3	4	3	4	3	4	2	5	6	4	3	3	4	3	3	221
OG0000007	2	0	0	0	0	0	0	0	0	4	13	0	0	14	14	14	14	14	14	14	14	14	14	14	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	13	13	0	0	0	0	0	12	218
OG0000008	1	1	14	13	14	14	14	13	13	2	0	0	12	0	0	0	0	0	0	0	0	0	0	0	11	10	0	30	3	5	4	0	13	11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	217
OG0000009	2	0	5	5	5	5	5	5	5	3	5	6	3	5	5	5	5	5	5	5	5	5	5	5	3	4	2	4	4	4	5	6	4	3	3	4	4	2	2	2	2	1	2	1	7	5	2	2	2	3	3	3	198
