strain,gene,start,end,type
BuffGH_2022,JKPFCNPL_00001,1,1392,core
BuffGH_2022,JKPFCNPL_00002,1397,2497,accessory
BuffGH_2022,JKPFCNPL_00003,2556,3734,accessory
BuffGH_2022,JKPFCNPL_00004,3753,6158,accessory
BuffGH_2022,JKPFCNPL_00005,6423,7019,accessory
BuffGH_2022,JKPFCNPL_00006,7342,8151,accessory
BuffGH_2022,JKPFCNPL_00007,8261,9532,accessory
BuffGH_2022,JKPFCNPL_00008,9529,9900,accessory
BuffGH_2022,JKPFCNPL_00009,10200,10616,accessory
BuffGH_2022,JKPFCNPL_00010,10744,10977,accessory
BuffGH_2022,JKPFCNPL_00011,11018,12268,accessory
BuffGH_2022,JKPFCNPL_00012,12621,13382,accessory
BuffGH_2022,JKPFCNPL_00013,13473,14201,accessory
BuffGH_2022,JKPFCNPL_00014,14164,14787,accessory
BuffGH_2022,JKPFCNPL_00015,14931,15467,accessory
BuffGH_2022,JKPFCNPL_00016,15478,15795,accessory
BuffGH_2022,JKPFCNPL_00017,15826,16542,accessory
BuffGH_2022,JKPFCNPL_00018,16761,17180,accessory
BuffGH_2022,JKPFCNPL_00019,17928,18689,accessory
BuffGH_2022,JKPFCNPL_00020,18763,19290,accessory
BuffGH_2022,JKPFCNPL_00021,19353,21782,accessory
BuffGH_2022,JKPFCNPL_00022,21782,23050,accessory
BuffGH_2022,JKPFCNPL_00023,23139,23600,accessory
BuffGH_2022,JKPFCNPL_00024,23721,25670,accessory
BuffGH_2022,JKPFCNPL_00025,25681,25998,accessory
BuffGH_2022,JKPFCNPL_00026,26029,26745,accessory
BuffGH_2022,JKPFCNPL_00027,27662,28129,accessory
BuffGH_2022,JKPFCNPL_00028,28126,28578,accessory
BuffGH_2022,JKPFCNPL_00029,28580,29146,accessory
BuffGH_2022,JKPFCNPL_00030,29139,29318,accessory
BuffGH_2022,JKPFCNPL_00031,29318,30784,accessory
BuffGH_2022,JKPFCNPL_00032,30794,31153,accessory
BuffGH_2022,JKPFCNPL_00033,31157,31510,accessory
BuffGH_2022,JKPFCNPL_00034,31644,33452,accessory
BuffGH_2022,JKPFCNPL_00035,33452,34768,accessory
BuffGH_2022,JKPFCNPL_00036,34752,35849,accessory
BuffGH_2022,JKPFCNPL_00037,35846,36394,accessory
BuffGH_2022,JKPFCNPL_00038,36391,36831,accessory
BuffGH_2022,JKPFCNPL_00039,36832,37911,accessory
BuffGH_2022,JKPFCNPL_00040,37908,38486,accessory
BuffGH_2022,JKPFCNPL_00041,38489,39181,accessory
BuffGH_2022,JKPFCNPL_00042,39181,39777,accessory
BuffGH_2022,JKPFCNPL_00043,39982,40545,accessory
BuffGH_2022,JKPFCNPL_00044,40630,41052,accessory
BuffGH_2022,JKPFCNPL_00045,41268,42188,accessory
BuffGH_2022,JKPFCNPL_00046,42566,43279,accessory
BuffGH_2022,JKPFCNPL_00047,43288,44064,accessory
BuffGH_2022,JKPFCNPL_00048,44236,44454,accessory
BuffGH_2022,JKPFCNPL_00049,44603,45472,accessory
BuffGH_2022,JKPFCNPL_00050,45519,45950,accessory
BuffGH_2022,JKPFCNPL_00051,46112,47116,accessory
BuffGH_2022,JKPFCNPL_00052,47402,48019,accessory
BuffGH_2022,JKPFCNPL_00053,48516,49406,accessory
BuffGH_2022,JKPFCNPL_00054,49273,49686,accessory
BuffGH_2022,JKPFCNPL_00055,49707,50231,accessory
BuffGH_2022,JKPFCNPL_00056,50331,51476,accessory
BuffGH_2022,JKPFCNPL_00057,51570,53489,accessory
BuffGH_2022,JKPFCNPL_00058,53941,54084,accessory
BuffGH_2022,JKPFCNPL_00059,54307,54489,accessory
BuffGH_2022,JKPFCNPL_00060,55206,55853,accessory
BuffGH_2022,JKPFCNPL_00061,55945,56526,accessory
BuffGH_2022,JKPFCNPL_00062,56576,56758,accessory
BuffGH_2022,JKPFCNPL_00063,56745,57227,accessory
BuffGH_2022,JKPFCNPL_00064,57465,58181,accessory
BuffGH_2022,JKPFCNPL_00065,58775,60844,accessory
BuffGH_2022,JKPFCNPL_00066,60854,61765,core
BuffGH_2022,JKPFCNPL_00067,61963,62265,accessory
BuffGH_2022,JKPFCNPL_00068,62222,62683,accessory
BuffGH_2022,JKPFCNPL_00069,62687,62971,accessory
BuffGH_2022,JKPFCNPL_00070,63669,64328,accessory
BuffGH_2022,JKPFCNPL_00071,65625,66503,accessory
BuffGH_2022,JKPFCNPL_00072,66529,67806,accessory
BuffGH_2022,JKPFCNPL_00073,68106,68588,accessory
BuffGH_2022,JKPFCNPL_00074,68618,69208,accessory
BuffGH_2022,JKPFCNPL_00075,69270,69728,accessory
BuffGH_2022,JKPFCNPL_00076,69834,70262,accessory
BuffGH_2022,JKPFCNPL_00077,70811,72238,accessory
BuffGH_2022,JKPFCNPL_00078,72332,74293,accessory
BuffGH_2022,JKPFCNPL_00079,74342,75493,accessory
BuffGH_2022,JKPFCNPL_00080,77029,78639,accessory
BuffGH_2022,JKPFCNPL_00081,78852,79871,accessory
BuffGH_2022,JKPFCNPL_00082,79882,80784,accessory
BuffGH_2022,JKPFCNPL_00083,80794,81780,accessory
BuffGH_2022,JKPFCNPL_00084,81770,82771,accessory
BuffGH_2022,JKPFCNPL_00085,82916,83944,accessory
BuffGH_2022,JKPFCNPL_00086,83976,84251,accessory
BuffGH_2022,JKPFCNPL_00087,84420,85460,accessory
BuffGH_2022,JKPFCNPL_00088,85525,85881,accessory
BuffGH_2022,JKPFCNPL_00089,86314,87000,accessory
BuffGH_2022,JKPFCNPL_00090,87054,87734,accessory
BuffGH_2022,JKPFCNPL_00091,87787,88335,accessory
BuffGH_2022,JKPFCNPL_00092,88353,88790,accessory
BuffGH_2022,JKPFCNPL_00093,89683,90018,accessory
BuffGH_2022,JKPFCNPL_00094,90030,90908,accessory
BuffGH_2022,JKPFCNPL_00095,91049,91231,accessory
BuffGH_2022,JKPFCNPL_00096,91391,91759,accessory
BuffGH_2022,JKPFCNPL_00097,92504,93007,accessory
BuffGH_2022,JKPFCNPL_00098,93136,93297,accessory
BuffGH_2022,JKPFCNPL_00099,93707,93925,accessory
BuffGH_2022,JKPFCNPL_00100,95027,95284,accessory
BuffGH_2022,JKPFCNPL_00101,95523,96254,accessory
BuffGH_2022,JKPFCNPL_00102,96297,97244,accessory
BuffGH_2022,JKPFCNPL_00103,98296,99495,accessory
BuffGH_2022,JKPFCNPL_00104,99504,99692,accessory
BuffGH_2022,JKPFCNPL_00105,100990,102360,accessory
BuffGH_2022,JKPFCNPL_00106,102523,104352,accessory
BuffGH_2022,JKPFCNPL_00107,104384,104512,accessory
BuffGH_2022,JKPFCNPL_00108,104597,105637,accessory
BuffGH_2022,JKPFCNPL_00109,105720,106682,accessory
BuffGH_2022,JKPFCNPL_00110,106679,107566,accessory
BuffGH_2022,JKPFCNPL_00111,107610,108380,accessory
BuffGH_2022,JKPFCNPL_00112,108398,109135,accessory
BuffGH_2022,JKPFCNPL_00113,109556,109747,accessory
BuffGH_2022,JKPFCNPL_00114,109749,110072,accessory
BuffGH_2022,JKPFCNPL_00115,110251,110376,accessory
BuffGH_2022,JKPFCNPL_00116,110830,112113,accessory
BuffGH_2022,JKPFCNPL_00117,112311,112718,accessory
BuffGH_2022,JKPFCNPL_00118,112804,113016,accessory
BuffGH_2022,JKPFCNPL_00119,113075,113323,accessory
BuffGH_2022,JKPFCNPL_00120,113295,113483,accessory
BuffGH_2022,JKPFCNPL_00121,113821,114315,accessory
BuffGH_2022,JKPFCNPL_00122,114312,114500,accessory
BuffGH_2022,JKPFCNPL_00123,114590,114706,accessory
BuffGH_2022,JKPFCNPL_00130,120846,121349,accessory
BuffGH_2022,JKPFCNPL_00131,121691,122515,accessory
BuffGH_2022,JKPFCNPL_00132,122636,122974,accessory
BuffGH_2022,JKPFCNPL_00133,123238,123351,accessory
BuffGH_2022,JKPFCNPL_00134,123455,123694,accessory
BuffGH_2022,JKPFCNPL_00135,123766,124143,accessory
BuffGH_2022,JKPFCNPL_00136,123971,124519,accessory
BuffGH_2022,JKPFCNPL_00137,124807,125538,accessory
BuffGH_2022,JKPFCNPL_00138,125502,125915,accessory
BuffGH_2022,JKPFCNPL_00139,126100,127623,accessory
BuffGH_2022,JKPFCNPL_00140,128203,129855,accessory
BuffGH_2022,JKPFCNPL_00141,129852,130109,accessory
BuffGH_2022,JKPFCNPL_00142,130128,131057,core
BuffGH_2022,JKPFCNPL_00143,131116,132966,accessory
BuffGH_2022,JKPFCNPL_00144,132972,134531,accessory
