Genome,Length(bp),GC(%),Contigs,Max_cum_skew,Min_cum_skew
ICMP5845,4935147,50.48,6,24652,-14916
BuffGH_2022,4978853,50.57,2,44037,-7
MDCuke_2022,5054064,50.49,6,39197,-777
SCR3,4974774,50.49,6,38492,-7
PSU-1,4717274,44.99,27,3,-35180
BHKY,4958521,50.51,2,41461,-7
